year,citizen,country,total
2023年,93267,47700,140967
2022年,92071,49104,141175
2021年,91425,49835,141260
2020年,90220,50992,141212
2019年,88426,52582,141008
2018年,86433,54108,140541
2017年,84343,55668,140011
2016年,81924,57308,139232
2015年,79302,59024,138326
2014年,76738,60908,137646
2013年,74502,62224,136726
2012年,72175,63747,135922
2011年,69927,64989,134916
2010年,66978,67113,134091
2009年,64512,68938,133450
2008年,62403,70399,132802
2007年,60633,71496,132129
2006年,58288,73160,131448
2005年,56212,74544,130756
2004年,54283,75705,129988
2003年,52376,76851,129227
2002年,50212,78241,128453
2001年,48064,79563,127627
2000年,45906,80837,126743
1999年,43748,82038,125786
1998年,41608,83153,124761
1997年,39449,84177,123626
1996年,37304,85085,122389
1995年,35174,85947,121121
1994年,34169,85681,119850
1993年,33173,85344,118517
1992年,32175,84996,117171
1991年,31203,84620,115823
1990年,30195,84138,114333
1989年,29540,83164,112704
1988年,28661,82365,111026
1987年,27674,81626,109300
1986年,26366,81141,107507
1985年,25094,80757,105851
1984年,24017,80340,104357
1983年,22274,80734,103008
1982年,21480,80174,101654
1981年,20171,79901,100072
1980年,19140,79565,98705
1979年,18495,79047,97542
1978年,17245,79014,96259
1977年,16669,78305,94974
1976年,16341,77376,93717
1975年,16030,76390,92420
1974年,15595,75264,90859
1973年,15345,73866,89211
1972年,14935,72242,87177
1971年,14711,70518,85229
1970年,14424,68568,82992
1969年,14117,66554,80671
1968年,13838,64696,78534
1967年,13548,62820,76368
1966年,13313,61229,74542
1965年,13045,59493,72538
1964年,12950,57549,70499
1963年,11646,57526,69172
1962年,11659,55636,67296
1961年,12707,53152,65859
1960年,13073,53134,66207
1959年,12371,54836,67207
1958年,10721,55273,65994
1957年,9949,54704,64653
1956年,9185,53643,62828
1955年,8285,53180,61465
1954年,8249,52017,60266
1953年,7826,50970,58796
1952年,7163,50319,57482
1951年,6632,49668,56300
1950年,6169,49027,55196
1949年,5765,48402,54167
