year,young,middle,older,total
2023年,23063,96228,21676,140967
2022年,23908,96289,20978,141175
2021年,24678,96526,20056,141260
2020年,25277,96871,19064,141212
2019年,23689,99552,17767,141008
2018年,23751,100065,16724,140541
2017年,23522,100528,15961,140011
2016年,23252,100943,15037,139232
2015年,22824,100978,14524,138326
2014年,22712,101032,13902,137646
2013年,22423,101041,13262,136726
2012年,22427,100718,12777,135922
2011年,22261,100378,12277,134916
2010年,22259,99938,11894,134091
2009年,24659,97484,11307,133450
2008年,25166,96680,10956,132802
2007年,25660,95833,10636,132129
2006年,25961,95068,10419,131448
2005年,26504,94197,10055,130756
2004年,27947,92184,9857,129988
2003年,28559,90976,9692,129227
2002年,28774,90302,9377,128453
2001年,28716,89849,9062,127627
2000年,29012,88910,8821,126743
1999年,31950,85157,8679,125786
1998年,32064,84338,8359,124761
1997年,32093,83448,8085,123626
1996年,32311,82245,7833,122389
1995年,32218,81393,7510,121121
1994年,32360,79868,7622,119850
1993年,32177,79051,7289,118517
1992年,32339,77614,7218,117171
1991年,32095,76791,6938,115823
1990年,31659,76306,6368,114333
